trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1253,False,"{'a': 0.005, 'e': 0.0019017134184540325}",25,12,25.266362713076553,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1254,False,"{'a': 0.005, 'e': 0.001892228583209938}",20,6,20.567565201151876,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1255,False,"{'a': 0.005, 'e': 0.0018827910537789773}",20,10,13.1024402553045,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1256,False,"{'a': 0.005, 'e': 0.0018734005942224233}",25,8,26.943121357159868,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1257,False,"{'a': 0.005, 'e': 0.0018640569697782978}",20,9,15.315650232624632,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1258,False,"{'a': 0.005, 'e': 0.0018547599468555032}",20,9,19.763550234761297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1259,False,"{'a': 0.005, 'e': 0.0018455092930279823}",30,8,36.37086482804914,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1260,False,"{'a': 0.005, 'e': 0.0018363047770289071}",20,7,17.448920432393304,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1261,False,"{'a': 0.005, 'e': 0.001827146168744899}",25,0,36.60159295756153,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1262,False,"{'a': 0.005, 'e': 0.0018180332392102713}",20,9,17.67793662406239,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1263,False,"{'a': 0.005, 'e': 0.0018089657606013153}",30,10,26.40842278306318,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1264,False,"{'a': 0.005, 'e': 0.0017999435062305911}",30,15,26.369629124660356,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
